table_name,column_name,data_type
bank_verifications,attempt_count,integer
banks,account_number_digits,integer
banks,display_order,integer
coin_transactions,amount,integer
countdowns,display_order,integer
countdowns,duration_minutes,integer
faqs,display_order,integer
hero_slides,display_order,integer
payment_methods,display_order,integer
profiles,coin_balance,integer
projects,order_number,integer
reviews,rating,integer
testimonials,display_order,integer
testimonials,rating,integer
trusted_companies,display_order,integer
upgrade_auto_responses,display_order,integer
upgrade_auto_responses,typing_duration_seconds,integer
upgrade_chat_day_settings,day_of_week,integer
upgrade_chat_time_slots,day_of_week,integer
upgrade_chat_time_slots,display_order,integer
upgrade_chat_time_slots,end_hour,integer
upgrade_chat_time_slots,end_minute,integer
upgrade_chat_time_slots,max_bookings,integer
upgrade_chat_time_slots,start_hour,integer
upgrade_chat_time_slots,start_minute,integer
user_reviews,rating,integer
wallet_types,display_order,integer
withdrawals,order_number,integer
work_experiences,end_year,integer
work_experiences,start_year,integer