tgname,trigger_def
RI_ConstraintTrigger_a_17591,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17591"" AFTER DELETE ON public.profiles FROM documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17592,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17592"" AFTER UPDATE ON public.profiles FROM documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17689,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17689"" AFTER DELETE ON public.profiles FROM projects NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17690,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17690"" AFTER UPDATE ON public.profiles FROM projects NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17694,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17694"" AFTER DELETE ON public.profiles FROM projects NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17695,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17695"" AFTER UPDATE ON public.profiles FROM projects NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17720,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17720"" AFTER DELETE ON public.profiles FROM project_applications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17721,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17721"" AFTER UPDATE ON public.profiles FROM project_applications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17739,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17739"" AFTER DELETE ON public.profiles FROM transactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17740,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17740"" AFTER UPDATE ON public.profiles FROM transactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17757,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17757"" AFTER DELETE ON public.profiles FROM withdrawals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17758,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17758"" AFTER UPDATE ON public.profiles FROM withdrawals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17762,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17762"" AFTER DELETE ON public.profiles FROM withdrawals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17763,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17763"" AFTER UPDATE ON public.profiles FROM withdrawals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17786,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17786"" AFTER DELETE ON public.profiles FROM project_submissions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_17787,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17787"" AFTER UPDATE ON public.profiles FROM project_submissions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_17837,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17837"" AFTER DELETE ON public.profiles FROM messages NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_17838,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_17838"" AFTER UPDATE ON public.profiles FROM messages NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_18432,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_18432"" AFTER DELETE ON public.profiles FROM message_reactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_18433,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_18433"" AFTER UPDATE ON public.profiles FROM message_reactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19677,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19677"" AFTER DELETE ON public.profiles FROM aadhaar_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_19678,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19678"" AFTER UPDATE ON public.profiles FROM aadhaar_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19682,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19682"" AFTER DELETE ON public.profiles FROM aadhaar_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_19683,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19683"" AFTER UPDATE ON public.profiles FROM aadhaar_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19711,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19711"" AFTER DELETE ON public.profiles FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_19712,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19712"" AFTER UPDATE ON public.profiles FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19770,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19770"" AFTER DELETE ON public.profiles FROM legal_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_setnull_del""()"
RI_ConstraintTrigger_a_19771,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19771"" AFTER UPDATE ON public.profiles FROM legal_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19828,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19828"" AFTER DELETE ON public.profiles FROM employee_services NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_19829,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19829"" AFTER UPDATE ON public.profiles FROM employee_services NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19877,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19877"" AFTER DELETE ON public.profiles FROM work_experiences NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_19878,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19878"" AFTER UPDATE ON public.profiles FROM work_experiences NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19897,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19897"" AFTER DELETE ON public.profiles FROM employee_emergency_contacts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_19898,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19898"" AFTER UPDATE ON public.profiles FROM employee_emergency_contacts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19916,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19916"" AFTER DELETE ON public.profiles FROM app_settings NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_19917,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19917"" AFTER UPDATE ON public.profiles FROM app_settings NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19955,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19955"" AFTER DELETE ON public.profiles FROM bank_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_19956,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19956"" AFTER UPDATE ON public.profiles FROM bank_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_19960,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19960"" AFTER DELETE ON public.profiles FROM bank_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_19961,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_19961"" AFTER UPDATE ON public.profiles FROM bank_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20001,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20001"" AFTER DELETE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20002,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20002"" AFTER UPDATE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20006,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20006"" AFTER DELETE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20007,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20007"" AFTER UPDATE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20047,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20047"" AFTER DELETE ON public.profiles FROM announcements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20048,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20048"" AFTER UPDATE ON public.profiles FROM announcements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20087,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20087"" AFTER DELETE ON public.profiles FROM registration_metadata NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_20088,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20088"" AFTER UPDATE ON public.profiles FROM registration_metadata NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20132,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20132"" AFTER DELETE ON public.profiles FROM project_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20133,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20133"" AFTER UPDATE ON public.profiles FROM project_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20168,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20168"" AFTER DELETE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20169,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20169"" AFTER UPDATE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
